FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260306,Olluco largo,3.25,3.65,Tuberculos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Naranja valencia,2.53,4.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Chirimoya cumbe,5,8.8,Frutas,CAJON CHICO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Melon coquito,2.29,3.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Uva alfonso lavalett,4,6.9,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Cebolla cabeza roja,1.77,3.8,Hortalizas,SACO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Carne de porcino (corte unico),18.5,20,Carnes y huevos,UNIDAD,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Papa canchan,1.64,2.7,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Vainita americana,3.02,5.75,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Papa amarilla,3.19,5.25,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Uva red globe,3.13,6.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Camote morado,1.93,3.25,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Melocoton durazno huayco,5.45,9.9,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Arveja verde blanca serrana,4.4,8.65,Legumbres,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Manzana israel,3,5.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Ajo criollo o napuri,7.66,10.75,Hortalizas,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Manzana delicia,2.35,4.2,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Azucar rubia nacional (granel),3.27,4.15,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Mango edward,3.8,5.05,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Azucar blanca nacional (granel),3.31,4.4,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Tomate,2.48,3.65,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Arroz superior,3.01,3.35,Cereales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260306,Sandia,1.55,2.35,Frutas,KILOGRAMO,KILOGRAMO
